   x   |    y   |    f
.9144  | .1695  | 1.9897
.9144  | .1710  | 1.9904
.9144  | .1725  | 1.9912
.9144  | .1740  | 1.9920
.9144  | .1755  | 1.9927
.9144  | .1770  | 1.9935
.9144  | .1785  | 1.9942
.9144  | .1800  | 1.9950
.9144  | .1815  | 1.9957
.9144  | .1830  | 1.9965
.9144  | .1845  | 1.9972
.9144  | .1860  | 1.9980
.9144  | .1875  | 1.9987
.9144  | .1890  | 1.9995
.9144  | .1905  | 2.0002
.9144  | .1920  | 2.0010
.9144  | .1935  | 2.0017
.9144  | .1950  | 2.0025
.9144  | .1965  | 2.0032
.9144  | .1980  | 2.0039
.9144  | .1995  | 2.0047
.9144  | .2010  | 2.0054
.9144  | .2025  | 2.0061
.9144  | .2040  | 2.0069
.9144  | .2055  | 2.0076
.9144  | .2070  | 2.0083
.9144  | .2085  | 2.0090
.9144  | .2100  | 2.0098
.9144  | .2115  | 2.0105
.9144  | .2130  | 2.0112
.9144  | .2145  | 2.0119
.9144  | .2160  | 2.0127
.9144  | .2175  | 2.0134
.9144  | .2190  | 2.0141
.9144  | .2205  | 2.0148
.9144  | .2220  | 2.0155
.9144  | .2235  | 2.0162
.9144  | .2250  | 2.0169
.9144  | .2265  | 2.0176
.9144  | .2280  | 2.0184
.9144  | .2295  | 2.0191
.9144  | .2310  | 2.0198
.9144  | .2325  | 2.0205
.9144  | .2340  | 2.0212
.9144  | .2355  | 2.0219
.9144  | .2370  | 2.0226
.9144  | .2385  | 2.0233
.9144  | .2400  | 2.0240
.9144  | .2415  | 2.0246
.9144  | .2430  | 2.0253
.9128  | .1230  | 1.9555
.9128  | .1245  | 1.9564
.9128  | .1260  | 1.9572
.9128  | .1275  | 1.9580
.9128  | .1290  | 1.9588
.9128  | .1305  | 1.9597
.9128  | .1320  | 1.9605
.9128  | .1335  | 1.9613
.9128  | .1350  | 1.9621
.9128  | .1365  | 1.9629
.9128  | .1380  | 1.9637
.9128  | .1395  | 1.9645
.9128  | .1410  | 1.9654
.9128  | .1425  | 1.9662
.9128  | .1440  | 1.9670
.9128  | .1455  | 1.9678
.9128  | .1470  | 1.9686
.9128  | .1485  | 1.9694
.9128  | .1500  | 1.9702
.9128  | .1515  | 1.9710
.9128  | .1530  | 1.9718
.9128  | .1545  | 1.9726
.9128  | .1560  | 1.9733
.9128  | .1575  | 1.9741
.9128  | .1590  | 1.9749
.9128  | .1605  | 1.9757
.9128  | .1620  | 1.9765
.9128  | .1635  | 1.9773
.9128  | .1650  | 1.9781
.9128  | .1665  | 1.9788
.9128  | .1680  | 1.9796
.9128  | .1695  | 1.9804
.9128  | .1710  | 1.9812
.9128  | .1725  | 1.9819
.9128  | .1740  | 1.9827
.9128  | .1755  | 1.9835
.9128  | .1770  | 1.9842
.9128  | .1785  | 1.9850
.9128  | .1800  | 1.9858
.9128  | .1815  | 1.9865
.9128  | .1830  | 1.9873
.9128  | .1845  | 1.9881
.9128  | .1860  | 1.9888
.9128  | .1875  | 1.9896
.9128  | .1890  | 1.9903
.9128  | .1905  | 1.9911
.9128  | .1920  | 1.9918
.9128  | .1935  | 1.9926
.9128  | .1950  | 1.9933
.9128  | .1965  | 1.9941
.9128  | .1980  | 1.9948
.9128  | .1995  | 1.9956
.9128  | .2010  | 1.9963
.9128  | .2025  | 1.9971
.9128  | .2040  | 1.9978
.9128  | .2055  | 1.9985
.9128  | .2070  | 1.9993
.9128  | .2085  | 2.0000
.9128  | .2100  | 2.0007
.9128  | .2115  | 2.0015
.9128  | .2130  | 2.0022
.9128  | .2145  | 2.0029
.9128  | .2160  | 2.0036
.9128  | .2175  | 2.0044
.9128  | .2190  | 2.0051
.9128  | .2205  | 2.0058
.9128  | .2220  | 2.0065
.9128  | .2235  | 2.0073
.9128  | .2250  | 2.0080
.9128  | .2265  | 2.0087
.9128  | .2280  | 2.0094
.9128  | .2295  | 2.0101
.9128  | .2310  | 2.0108
.9128  | .2325  | 2.0115
.9128  | .2340  | 2.0122
.9128  | .2355  | 2.0130
.9128  | .2370  | 2.0137
.9128  | .2385  | 2.0144
.9128  | .2400  | 2.0151
.9128  | .2415  | 2.0158
.9128  | .2430  | 2.0165
.9112  | .1230  | 1.9461
.9112  | .1245  | 1.9469
.9112  | .1260  | 1.9478
.9112  | .1275  | 1.9486
.9112  | .1290  | 1.9494
.9112  | .1305  | 1.9502
.9112  | .1320  | 1.9511
.9112  | .1335  | 1.9519
.9112  | .1350  | 1.9527
.9112  | .1365  | 1.9536
.9112  | .1380  | 1.9544
.9112  | .1395  | 1.9552
.9112  | .1410  | 1.9560
.9112  | .1425  | 1.9568
.9112  | .1440  | 1.9576
.9112  | .1455  | 1.9585
.9112  | .1470  | 1.9593
.9112  | .1485  | 1.9601
.9112  | .1500  | 1.9609
.9112  | .1515  | 1.9617
.9112  | .1530  | 1.9625
.9112  | .1545  | 1.9633
.9112  | .1560  | 1.9641
.9112  | .1575  | 1.9649
.9112  | .1590  | 1.9657
.9112  | .1605  | 1.9665
.9112  | .1620  | 1.9673
.9112  | .1635  | 1.9681
.9112  | .1650  | 1.9689
.9112  | .1665  | 1.9696
.9112  | .1680  | 1.9704
.9112  | .1695  | 1.9712
.9112  | .1710  | 1.9720
.9112  | .1725  | 1.9728
.9112  | .1740  | 1.9736
.9112  | .1755  | 1.9743
.9112  | .1770  | 1.9751
.9112  | .1785  | 1.9759
.9112  | .1800  | 1.9767
.9112  | .1815  | 1.9774
.9112  | .1830  | 1.9782
.9112  | .1845  | 1.9790
.9112  | .1860  | 1.9797
.9112  | .1875  | 1.9805
.9112  | .1890  | 1.9813
.9112  | .1905  | 1.9820
.9112  | .1920  | 1.9828
.9112  | .1935  | 1.9835
.9112  | .1950  | 1.9843
.9112  | .1965  | 1.9850
.9112  | .1980  | 1.9858
.9112  | .1995  | 1.9866
.9112  | .2010  | 1.9873
.9112  | .2025  | 1.9880
.9112  | .2040  | 1.9888
.9112  | .2055  | 1.9895
.9112  | .2070  | 1.9903
.9112  | .2085  | 1.9910
.9112  | .2100  | 1.9918
.9112  | .2115  | 1.9925
.9112  | .2130  | 1.9932
.9112  | .2145  | 1.9940
.9112  | .2160  | 1.9947
.9112  | .2175  | 1.9954
.9112  | .2190  | 1.9962
.9112  | .2205  | 1.9969
.9112  | .2220  | 1.9976
.9112  | .2235  | 1.9984
.9112  | .2250  | 1.9991
.9112  | .2265  | 1.9998
.9112  | .2280  | 2.0005
.9112  | .2295  | 2.0013
.9112  | .2310  | 2.0020
.9112  | .2325  | 2.0027
.9112  | .2340  | 2.0034
.9112  | .2355  | 2.0041
.9112  | .2370  | 2.0048
.9112  | .2385  | 2.0056
.9112  | .2400  | 2.0063
.9112  | .2415  | 2.0070
.9112  | .2430  | 2.0077
.9096  | .1230  | 1.9367
.9096  | .1245  | 1.9376
.9096  | .1260  | 1.9384
.9096  | .1275  | 1.9392
.9096  | .1290  | 1.9401
.9096  | .1305  | 1.9409
.9096  | .1320  | 1.9418
.9096  | .1335  | 1.9426
.9096  | .1350  | 1.9434
.9096  | .1365  | 1.9443
.9096  | .1380  | 1.9451
.9096  | .1395  | 1.9459
.9096  | .1410  | 1.9467
.9096  | .1425  | 1.9476
.9096  | .1440  | 1.9484
.9096  | .1455  | 1.9492
.9096  | .1470  | 1.9500
.9096  | .1485  | 1.9509
.9096  | .1500  | 1.9517
.9096  | .1515  | 1.9525
.9096  | .1530  | 1.9533
.9096  | .1545  | 1.9541
.9096  | .1560  | 1.9549
.9096  | .1575  | 1.9557
.9096  | .1590  | 1.9565
.9096  | .1605  | 1.9573
.9096  | .1620  | 1.9581
.9096  | .1635  | 1.9589
.9096  | .1650  | 1.9597
.9096  | .1665  | 1.9605
.9096  | .1680  | 1.9613
.9096  | .1695  | 1.9621
.9096  | .1710  | 1.9629
.9096  | .1725  | 1.9637
.9096  | .1740  | 1.9645
.9096  | .1755  | 1.9653
.9096  | .1770  | 1.9660
.9096  | .1785  | 1.9668
.9096  | .1800  | 1.9676
.9096  | .1815  | 1.9684
.9096  | .1830  | 1.9692
.9096  | .1845  | 1.9699
.9096  | .1860  | 1.9707
.9096  | .1875  | 1.9715
.9096  | .1890  | 1.9723
.9096  | .1905  | 1.9730
.9096  | .1920  | 1.9738
.9096  | .1935  | 1.9746
.9096  | .1950  | 1.9753
.9096  | .1965  | 1.9761
.9096  | .1980  | 1.9769
.9096  | .1995  | 1.9776
.9096  | .2010  | 1.9784
.9096  | .2025  | 1.9791
.9096  | .2040  | 1.9799
.9096  | .2055  | 1.9806
.9096  | .2070  | 1.9814
.9096  | .2085  | 1.9821
.9096  | .2100  | 1.9829
.9096  | .2115  | 1.9836
.9096  | .2130  | 1.9844
.9096  | .2145  | 1.9851
.9096  | .2160  | 1.9859
.9096  | .2175  | 1.9866
.9096  | .2190  | 1.9873
.9096  | .2205  | 1.9881
.9096  | .2220  | 1.9888
.9096  | .2235  | 1.9896
.9096  | .2250  | 1.9903
.9096  | .2265  | 1.9910
.9096  | .2280  | 1.9918
.9096  | .2295  | 1.9925
.9096  | .2310  | 1.9932
.9096  | .2325  | 1.9939
.9096  | .2340  | 1.9947
.9096  | .2355  | 1.9954
.9096  | .2370  | 1.9961
.9096  | .2385  | 1.9968
.9096  | .2400  | 1.9975
.9096  | .2415  | 1.9983
.9096  | .2430  | 1.9990
.9080  | .1230  | 1.9274
.9080  | .1245  | 1.9283
.9080  | .1260  | 1.9291
.9080  | .1275  | 1.9300
.9080  | .1290  | 1.9308
.9080  | .1305  | 1.9317
.9080  | .1320  | 1.9325
.9080  | .1335  | 1.9334
.9080  | .1350  | 1.9342
.9080  | .1365  | 1.9351
.9080  | .1380  | 1.9359
.9080  | .1395  | 1.9367
.9080  | .1410  | 1.9376
.9080  | .1425  | 1.9384
.9080  | .1440  | 1.9392
.9080  | .1455  | 1.9401
.9080  | .1470  | 1.9409
.9080  | .1485  | 1.9417
.9080  | .1500  | 1.9425
.9080  | .1515  | 1.9434
.9080  | .1530  | 1.9442
.9080  | .1545  | 1.9450
.9080  | .1560  | 1.9458
.9080  | .1575  | 1.9466
.9080  | .1590  | 1.9475
.9080  | .1605  | 1.9483
.9080  | .1620  | 1.9491
.9080  | .1635  | 1.9499
.9080  | .1650  | 1.9507
.9080  | .1665  | 1.9515
.9080  | .1680  | 1.9523
.9080  | .1695  | 1.9531
.9080  | .1710  | 1.9539
.9080  | .1725  | 1.9547
.9080  | .1740  | 1.9555
.9080  | .1755  | 1.9563
.9080  | .1770  | 1.9571
.9080  | .1785  | 1.9579
.9080  | .1800  | 1.9587
.9080  | .1815  | 1.9594
.9080  | .1830  | 1.9602
.9080  | .1845  | 1.9610
.9080  | .1860  | 1.9618
.9080  | .1875  | 1.9626
.9080  | .1890  | 1.9634
.9080  | .1905  | 1.9641
.9080  | .1920  | 1.9649
.9080  | .1935  | 1.9657
.9080  | .1950  | 1.9665
.9080  | .1965  | 1.9672
.9080  | .1980  | 1.9680
.9080  | .1995  | 1.9688
.9080  | .2010  | 1.9695
.9080  | .2025  | 1.9703
.9080  | .2040  | 1.9711
.9080  | .2055  | 1.9718
.9080  | .2070  | 1.9726
.9080  | .2085  | 1.9733
.9080  | .2100  | 1.9741
.9080  | .2115  | 1.9748
.9080  | .2130  | 1.9756
.9080  | .2145  | 1.9764
.9080  | .2160  | 1.9771
.9080  | .2175  | 1.9779
.9080  | .2190  | 1.9786
.9080  | .2205  | 1.9793
.9080  | .2220  | 1.9801
.9080  | .2235  | 1.9808
.9080  | .2250  | 1.9816
.9080  | .2265  | 1.9823
.9080  | .2280  | 1.9830
.9080  | .2295  | 1.9838
.9080  | .2310  | 1.9845
.9080  | .2325  | 1.9853
.9080  | .2340  | 1.9860
.9080  | .2355  | 1.9867
.9080  | .2370  | 1.9874
.9080  | .2385  | 1.9882
.9080  | .2400  | 1.9889
.9080  | .2415  | 1.9896
.9080  | .2430  | 1.9903
.9064  | .1230  | 1.9182
.9064  | .1245  | 1.9191
.9064  | .1260  | 1.9200
.9064  | .1275  | 1.9208
.9064  | .1290  | 1.9217
.9064  | .1305  | 1.9225
.9064  | .1320  | 1.9234
.9064  | .1335  | 1.9243
.9064  | .1350  | 1.9251
.9064  | .1365  | 1.9260
.9064  | .1380  | 1.9268
.9064  | .1395  | 1.9276
.9064  | .1410  | 1.9285
.9064  | .1425  | 1.9293
.9064  | .1440  | 1.9302
.9064  | .1455  | 1.9310
.9064  | .1470  | 1.9318
.9064  | .1485  | 1.9327
.9064  | .1500  | 1.9335
.9064  | .1515  | 1.9343
.9064  | .1530  | 1.9352
.9064  | .1545  | 1.9360
.9064  | .1560  | 1.9368
.9064  | .1575  | 1.9376
.9064  | .1590  | 1.9385
.9064  | .1605  | 1.9393
.9064  | .1620  | 1.9401
.9064  | .1635  | 1.9409
.9064  | .1650  | 1.9417
.9064  | .1665  | 1.9425
.9064  | .1680  | 1.9434
.9064  | .1695  | 1.9442
.9064  | .1710  | 1.9450
.9064  | .1725  | 1.9458
.9064  | .1740  | 1.9466
.9064  | .1755  | 1.9474
.9064  | .1770  | 1.9482
.9064  | .1785  | 1.9490
.9064  | .1800  | 1.9498
.9064  | .1815  | 1.9506
.9064  | .1830  | 1.9514
.9064  | .1845  | 1.9522
.9064  | .1860  | 1.9529
.9064  | .1875  | 1.9537
.9064  | .1890  | 1.9545
.9064  | .1905  | 1.9553
.9064  | .1920  | 1.9561
.9064  | .1935  | 1.9569
.9064  | .1950  | 1.9577
.9064  | .1965  | 1.9584
.9064  | .1980  | 1.9592
.9064  | .1995  | 1.9600
.9064  | .2010  | 1.9608
.9064  | .2025  | 1.9615
.9064  | .2040  | 1.9623
.9064  | .2055  | 1.9631
.9064  | .2070  | 1.9638
.9064  | .2085  | 1.9646
.9064  | .2100  | 1.9654
.9064  | .2115  | 1.9661
.9064  | .2130  | 1.9669
.9064  | .2145  | 1.9677
.9064  | .2160  | 1.9684
.9064  | .2175  | 1.9692
.9064  | .2190  | 1.9699
.9064  | .2205  | 1.9707
.9064  | .2220  | 1.9714
.9064  | .2235  | 1.9722
.9064  | .2250  | 1.9729
.9064  | .2265  | 1.9737
.9064  | .2280  | 1.9744
.9064  | .2295  | 1.9752
.9064  | .2310  | 1.9759
.9064  | .2325  | 1.9767
.9064  | .2340  | 1.9774
.9064  | .2355  | 1.9781
.9064  | .2370  | 1.9789
.9064  | .2385  | 1.9796
.9064  | .2400  | 1.9803
.9064  | .2415  | 1.9811
.9064  | .2430  | 1.9818
.9048  | .1230  | 1.9091
.9048  | .1245  | 1.9100
.9048  | .1260  | 1.9109
.9048  | .1275  | 1.9117
.9048  | .1290  | 1.9126
.9048  | .1305  | 1.9135
.9048  | .1320  | 1.9143
.9048  | .1335  | 1.9152
.9048  | .1350  | 1.9161
.9048  | .1365  | 1.9169
.9048  | .1380  | 1.9178
.9048  | .1395  | 1.9186
.9048  | .1410  | 1.9195
.9048  | .1425  | 1.9203
.9048  | .1440  | 1.9212
.9048  | .1455  | 1.9220
.9048  | .1470  | 1.9229
.9048  | .1485  | 1.9237
.9048  | .1500  | 1.9245
.9048  | .1515  | 1.9254
.9048  | .1530  | 1.9262
.9048  | .1545  | 1.9271
.9048  | .1560  | 1.9279
.9048  | .1575  | 1.9287
.9048  | .1590  | 1.9296
.9048  | .1605  | 1.9304
.9048  | .1620  | 1.9312
.9048  | .1635  | 1.9320
.9048  | .1650  | 1.9329
.9048  | .1665  | 1.9337
.9048  | .1680  | 1.9345
.9048  | .1695  | 1.9353
.9048  | .1710  | 1.9361
.9048  | .1725  | 1.9369
.9048  | .1740  | 1.9377
.9048  | .1755  | 1.9386
.9048  | .1770  | 1.9394
.9048  | .1785  | 1.9402
.9048  | .1800  | 1.9410
.9048  | .1815  | 1.9418
.9048  | .1830  | 1.9426
.9048  | .1845  | 1.9434
.9048  | .1860  | 1.9442
.9048  | .1875  | 1.9450
.9048  | .1890  | 1.9458
.9048  | .1905  | 1.9466
.9048  | .1920  | 1.9474
.9048  | .1935  | 1.9482
.9048  | .1950  | 1.9489
.9048  | .1965  | 1.9497
.9048  | .1980  | 1.9505
.9048  | .1995  | 1.9513
.9048  | .2010  | 1.9521
.9048  | .2025  | 1.9529
.9048  | .2040  | 1.9536
.9048  | .2055  | 1.9544
.9048  | .2070  | 1.9552
.9048  | .2085  | 1.9560
.9048  | .2100  | 1.9567
.9048  | .2115  | 1.9575
.9048  | .2130  | 1.9583
.9048  | .2145  | 1.9590
.9048  | .2160  | 1.9598
.9048  | .2175  | 1.9606
.9048  | .2190  | 1.9613
.9048  | .2205  | 1.9621
.9048  | .2220  | 1.9628
.9048  | .2235  | 1.9636
.9048  | .2250  | 1.9644
.9048  | .2265  | 1.9651
.9048  | .2280  | 1.9659
.9048  | .2295  | 1.9666
.9048  | .2310  | 1.9674
.9048  | .2325  | 1.9681
.9048  | .2340  | 1.9689
.9048  | .2355  | 1.9696
.9048  | .2370  | 1.9704
.9048  | .2385  | 1.9711
.9048  | .2400  | 1.9718
.9048  | .2415  | 1.9726
.9048  | .2430  | 1.9733
.9032  | .1230  | 1.9001
.9032  | .1245  | 1.9010
.9032  | .1260  | 1.9019
.9032  | .1275  | 1.9027
.9032  | .1290  | 1.9036
.9032  | .1305  | 1.9045
.9032  | .1320  | 1.9054
.9032  | .1335  | 1.9062
.9032  | .1350  | 1.9071
.9032  | .1365  | 1.9080
.9032  | .1380  | 1.9088
.9032  | .1395  | 1.9097
.9032  | .1410  | 1.9106
.9032  | .1425  | 1.9114
.9032  | .1440  | 1.9123
.9032  | .1455  | 1.9131
.9032  | .1470  | 1.9140
.9032  | .1485  | 1.9148
.9032  | .1500  | 1.9157
.9032  | .1515  | 1.9165
.9032  | .1530  | 1.9174
.9032  | .1545  | 1.9182
.9032  | .1560  | 1.9190
.9032  | .1575  | 1.9199
.9032  | .1590  | 1.9207
.9032  | .1605  | 1.9216
.9032  | .1620  | 1.9224
.9032  | .1635  | 1.9232
.9032  | .1650  | 1.9241
.9032  | .1665  | 1.9249
.9032  | .1680  | 1.9257
.9032  | .1695  | 1.9265
.9032  | .1710  | 1.9274
.9032  | .1725  | 1.9282
.9032  | .1740  | 1.9290
.9032  | .1755  | 1.9298
.9032  | .1770  | 1.9306
.9032  | .1785  | 1.9314
.9032  | .1800  | 1.9323
.9032  | .1815  | 1.9331
.9032  | .1830  | 1.9339
.9032  | .1845  | 1.9347
.9032  | .1860  | 1.9355
.9032  | .1875  | 1.9363
.9032  | .1890  | 1.9371
.9032  | .1905  | 1.9379
.9032  | .1920  | 1.9387
.9032  | .1935  | 1.9395
.9032  | .1950  | 1.9403
.9032  | .1965  | 1.9411
.9032  | .1980  | 1.9419
.9032  | .1995  | 1.9427
.9032  | .2010  | 1.9435
.9032  | .2025  | 1.9443
.9032  | .2040  | 1.9450
.9032  | .2055  | 1.9458
.9032  | .2070  | 1.9466
.9032  | .2085  | 1.9474
.9032  | .2100  | 1.9482
.9032  | .2115  | 1.9489
.9032  | .2130  | 1.9497
.9032  | .2145  | 1.9505
.9032  | .2160  | 1.9513
.9032  | .2175  | 1.9520
.9032  | .2190  | 1.9528
.9032  | .2205  | 1.9536
.9032  | .2220  | 1.9543
.9032  | .2235  | 1.9551
.9032  | .2250  | 1.9559
.9032  | .2265  | 1.9566
.9032  | .2280  | 1.9574
.9032  | .2295  | 1.9582
.9032  | .2310  | 1.9589
.9032  | .2325  | 1.9597
.9032  | .2340  | 1.9604
.9032  | .2355  | 1.9612
.9032  | .2370  | 1.9619
.9032  | .2385  | 1.9627
.9032  | .2400  | 1.9634
.9032  | .2415  | 1.9642
.9032  | .2430  | 1.9649
.9016  | .1230  | 1.8912
.9016  | .1245  | 1.8921
.9016  | .1260  | 1.8929
.9016  | .1275  | 1.8938
.9016  | .1290  | 1.8947
.9016  | .1305  | 1.8956
.9016  | .1320  | 1.8965
.9016  | .1335  | 1.8973
.9016  | .1350  | 1.8982
.9016  | .1365  | 1.8991
.9016  | .1380  | 1.9000
.9016  | .1395  | 1.9008
.9016  | .1410  | 1.9017
.9016  | .1425  | 1.9026
.9016  | .1440  | 1.9034
.9016  | .1455  | 1.9043
.9016  | .1470  | 1.9052
.9016  | .1485  | 1.9060
.9016  | .1500  | 1.9069
.9016  | .1515  | 1.9077
.9016  | .1530  | 1.9086
.9016  | .1545  | 1.9094
.9016  | .1560  | 1.9103
.9016  | .1575  | 1.9111
.9016  | .1590  | 1.9120
.9016  | .1605  | 1.9128
.9016  | .1620  | 1.9137
.9016  | .1635  | 1.9145
.9016  | .1650  | 1.9153
.9016  | .1665  | 1.9162
.9016  | .1680  | 1.9170
.9016  | .1695  | 1.9178
.9016  | .1710  | 1.9187
.9016  | .1725  | 1.9195
.9016  | .1740  | 1.9203
.9016  | .1755  | 1.9212
.9016  | .1770  | 1.9220
.9016  | .1785  | 1.9228
.9016  | .1800  | 1.9236
.9016  | .1815  | 1.9244
.9016  | .1830  | 1.9253
.9016  | .1845  | 1.9261
.9016  | .1860  | 1.9269
.9016  | .1875  | 1.9277
.9016  | .1890  | 1.9285
.9016  | .1905  | 1.9293
.9016  | .1920  | 1.9301
.9016  | .1935  | 1.9309
.9016  | .1950  | 1.9317
.9016  | .1965  | 1.9325
.9016  | .1980  | 1.9333
.9016  | .1995  | 1.9341
.9016  | .2010  | 1.9349
.9016  | .2025  | 1.9357
.9016  | .2040  | 1.9365
.9016  | .2055  | 1.9373
.9016  | .2070  | 1.9381
.9016  | .2085  | 1.9389
.9016  | .2100  | 1.9397
.9016  | .2115  | 1.9405
.9016  | .2130  | 1.9412
.9016  | .2145  | 1.9420
.9016  | .2160  | 1.9428
.9016  | .2175  | 1.9436
.9016  | .2190  | 1.9444
.9016  | .2205  | 1.9451
.9016  | .2220  | 1.9459
.9016  | .2235  | 1.9467
.9016  | .2250  | 1.9475
.9016  | .2265  | 1.9482
.9016  | .2280  | 1.9490
.9016  | .2295  | 1.9498
.9016  | .2310  | 1.9505
.9016  | .2325  | 1.9513
.9016  | .2340  | 1.9520
.9016  | .2355  | 1.9528
.9016  | .2370  | 1.9536
.9016  | .2385  | 1.9543
.9016  | .2400  | 1.9551
.9016  | .2415  | 1.9558
.9016  | .2430  | 1.9566
.9000  | .1230  | 1.8823
.9000  | .1245  | 1.8832
.9000  | .1260  | 1.8841
.9000  | .1275  | 1.8850
.9000  | .1290  | 1.8859
.9000  | .1305  | 1.8868
.9000  | .1320  | 1.8877
.9000  | .1335  | 1.8885
.9000  | .1350  | 1.8894
.9000  | .1365  | 1.8903
.9000  | .1380  | 1.8912
.9000  | .1395  | 1.8921
.9000  | .1410  | 1.8929
.9000  | .1425  | 1.8938
.9000  | .1440  | 1.8947
.9000  | .1455  | 1.8955
.9000  | .1470  | 1.8964
.9000  | .1485  | 1.8973
.9000  | .1500  | 1.8981
.9000  | .1515  | 1.8990
.9000  | .1530  | 1.8999
.9000  | .1545  | 1.9007
.9000  | .1560  | 1.9016
.9000  | .1575  | 1.9024
.9000  | .1590  | 1.9033
.9000  | .1605  | 1.9041
.9000  | .1620  | 1.9050
.9000  | .1635  | 1.9058
.9000  | .1650  | 1.9067
.9000  | .1665  | 1.9075
.9000  | .1680  | 1.9084
.9000  | .1695  | 1.9092
.9000  | .1710  | 1.9101
.9000  | .1725  | 1.9109
.9000  | .1740  | 1.9117
.9000  | .1755  | 1.9126
.9000  | .1770  | 1.9134
.9000  | .1785  | 1.9142
.9000  | .1800  | 1.9150
.9000  | .1815  | 1.9159
.9000  | .1830  | 1.9167
.9000  | .1845  | 1.9175
.9000  | .1860  | 1.9183
.9000  | .1875  | 1.9192
.9000  | .1890  | 1.9200
.9000  | .1905  | 1.9208
.9000  | .1920  | 1.9216
.9000  | .1935  | 1.9224
.9000  | .1950  | 1.9232
.9000  | .1965  | 1.9240
.9000  | .1980  | 1.9249
.9000  | .1995  | 1.9257
.9000  | .2010  | 1.9265
.9000  | .2025  | 1.9273
.9000  | .2040  | 1.9281
.9000  | .2055  | 1.9289
.9000  | .2070  | 1.9297
.9000  | .2085  | 1.9305
.9000  | .2100  | 1.9313
.9000  | .2115  | 1.9320
.9000  | .2130  | 1.9328
.9000  | .2145  | 1.9336
.9000  | .2160  | 1.9344
